name,short_description,pix_total,image_src
Kit Tempos de Góes Clássico Cabernet Sauvignon Seco com 1 Taça,"Tinto seco clássico, notas de frutas negras e especiarias, taninos suaves. Perfeito para carnes grelhadas e massas. Acompanha 1 taça.",55.68,https://cdn.dooca.store/158171/products/ul9nfiodhcspe1p13j2iet1hqw11lq0pddbq.jpg?v=1724679118
Frisante Branco Sauv Lorena Suave 269ml,"Com notas frescas de maçã verde e pêssego, este frisante suave é o companheiro perfeito para saladas, sobremesas e momentos descontraídos.",13.44,https://cdn.dooca.store/158171/products/ziyvbpb7zkuk8nza7obuwkinsu0xs9b1j7tw.jpg?v=1741865488
Vinho Branco Sauv Chardonnay Seco 269ml,"Aromas tropicais e frescor vibrante, perfeito para carnes brancas e peixes.",13.44,https://cdn.dooca.store/158171/products/8p3yi4i8cfiudqogbfidb6ti9hhsoqapymbm.jpg?v=1741865475
Vinho Tinto Sauv Cabernet Sauvignon Seco 269ml,"Aromas de cereja e morango, com corpo macio e acidez equilibrada, perfeito para carnes vermelhas e massas.",13.44,https://cdn.dooca.store/158171/products/nbzdm4qztdgi9qj2iloa4gjzq3u44kjue5bf.jpg?v=1741865459
Frisante Rosé Sauv Seco 269ml,"Frisante rosé seco, leve e refrescante, com toques de morango e cereja. Perlage delicada e formato prático de 269 ml — ideal para praia e aperitivos.",13.44,https://cdn.dooca.store/158171/products/p1yv4goj7jpmhaaalrneaui9ohico8ij8i0b.jpg?v=1741865484
Sauv Spritz,"Refrescante e frutado, com notas de laranja e toque cítrico, ideal para acompanhar aperitivos e carnes brancas.",12.48,https://cdn.dooca.store/158171/products/pssyl5rb543uifwzo2qarukzq3ki7ivgah9f.jpg?v=1723565064
Vinho Tinto Góes Tradição Bordô Suave 250ml,"Ideal para acompanhar carnes vermelhas, massas e queijos, proporcionando uma experiência suave e harmoniosa.",12.48,https://cdn.dooca.store/158171/products/tkzzp5fn4iojnfha4cskbi0mgvb6nu8amt3n.jpg?v=1723543751
Vinho Branco Casa Venturini Le Magicien Chardonnay Gran Reserva 2022,"Vinho Branco Chardonnay 2022 com aromas de frutas maduras e toque amanteigado, perfeito para harmonizar com carnes brancas e peixes ensopados.",307.2,https://cdn.dooca.store/158171/products/rdlpcuvdnfuesuqwmu7zc1jjq23jqmywllny.jpg?v=1722784707
Vinho Tinto Nobre Casa Venturini Marselan 2022,"Vinho Tinto Marselan 2022 com aromas complexos de especiarias e frutas vermelhas, ideal para acompanhar cordeiro e cortes nobres de carnes vermelhas grelhadas.",122.88,https://cdn.dooca.store/158171/products/olzysi1bdkqasuudzmojhm9ftwpnz7g5wgi6.jpg?v=1725627925
Vinho Rosé Casa Venturini Le Bateleur Tannat 2023,"Vinho Rosé Tannat 2023 com aromas de morango e pitanga, perfeito para massas ao molho branco e saladas. Ideal para acompanhar massas ao molho branco, risotos, carnes 
brancas, saladas e canapés, proporcionando uma experiência gastronômica 
refinada e versátil.",81.6,https://cdn.dooca.store/158171/products/ll0s9eonklmqx5nq7z2rp8iktwbmqwzc5tfz.jpg?v=1722780915
Vinho Tinto Casa Venturini Cabernet Franc Reserva 2020,"Aromas de frutas vermelhas e baunilha, Ideal para acompanhar grelhados, queijos médios, risotos e molhos leves, este vinho combina bem com pratos que têm sabores mais sutis e delicados.",91.2,https://cdn.dooca.store/158171/products/ufnostb9jjehyhepoatcyozubx1rv0l8xe1e.jpg?v=1722772199
Vinho Tinto Casa Venturini Cabernet Sauvignon Reserva 2021,"Cabernet Sauvignon de corpo médio, com cassis, pimenta e sutil toque de carvalho. Taninos redondos e final equilibrado. Acompanha carnes, massas e queijos.",91.2,https://cdn.dooca.store/158171/products/yjedwwkmqpmztccnv2hkhzy6sbo5fjprzr15.jpg?v=1722771400
Vinho Tinto Casa Venturini Merlot Reserva 2021,"Aromas de frutas vermelhas maduras e especiarias, ideal para grelhados e queijos estruturados.",91.2,https://cdn.dooca.store/158171/products/vchzsx4mofdv9kmheoq17xngf3fzubapmtpw.jpg?v=1724853445
Vinho Tinto Góes Tempos Cabernet Sauvignon Seco Bag in Box 3 Litros,"Vinho tinto seco de 3L, elaborado 100% com uva Cabernet Sauvignon, em embalagem Bag in Box. Perfeito para acompanhar carnes vermelhas com pouco tempero, massas (fusilli, spaghetti, etc.) ao molho marinara ou bolonhesa, peixe assado, queijos e canapés, proporcionando uma experiência gustativa encorpada e aromática.",110.4,https://cdn.dooca.store/158171/products/xal93mbbvjzrlpiahesvgti508j7gsw5gvdy.jpg?v=1722763250
Vinho Tinto Góes Tradição Bordô Seco Bag in Box 5 Litros,"DESCONTO PROGRESSIVO1 a 3 BAGS = 5%OFF4+ BAGS = 10%OFFVinho tinto seco de 5L, elaborado com uvas Bordô e Isabel, em embalagem Bag in Box. Perfeito para acompanhar carnes vermelhas, massas, queijos e canapés,
 proporcionando uma experiência gustativa encorpada e aromática.",120.0,https://cdn.dooca.store/158171/products/ibiv19xczqbwtoyskrgyg0n6136hsoarkzy8.jpg?v=1722762323
Vinho Tinto Quinta Jubair Bordo Suave Bag in Box 3 Litros,"Vinho tinto suave de 3L, elaborado com uva Bordô, em embalagem Bag in Box. Ideal para acompanhar carnes vermelhas, massas, queijos e canapés, proporcionando uma experiência gustativa encorpada e aveludada.",100.8,https://cdn.dooca.store/158171/products/hep8khzoptafuwnbtj3kl3pqk8i9oetnxn9v.jpg?v=1722761913
Vinho Tinto Góes Tradição Bordô Suave Bag in Box 5 Litros,"DESCONTO PROGRESSIVO1 a 3 BAGS = 5%OFF4+ BAGS = 10%OFFVinho tinto suave de 5L, com corte de uvas Bordô e Isabel, em embalagem Bag in Box. Ideal para acompanhar carnes vermelhas, massas, queijos e canapés, proporcionando uma experiência gustativa suave e agradável.",120.0,https://cdn.dooca.store/158171/products/tradicao-bordo-suave.png?v=1744333746
Vinho Branco Góes Original Seco Bag in Box 5 Litros,"Vinho branco seco de 5L, feito 100% de uva Niágara Branca, em embalagem Bag in Box. Acompanha carnes brancas, peixes e queijos leves, tornando-se uma escolha versátil para diversas ocasiões e refeições.",120.0,https://cdn.dooca.store/158171/products/bwhk7umqwnefhwobwbcrai3zafthvcuttcgf.jpg?v=1722717661
Vinho Tinto Simis Cabernet Sauvignon Gran Reserva 2019,"Cabernet Sauvignon robusto e complexo, com notas de cereja, figo e tabaco, ideal para carnes intensas e queijos fortes.",130.56,https://cdn.dooca.store/158171/products/qo1mrdylixddysxzn2t3hvrvstrxmnzlcwry.jpg?v=1722640536
Vinho Rosé Tempos de Góes Reservado Moscato e Cabernet Sauvignon Demi-Sec,"Este rosé é ideal para acompanhar petiscos, pizza, saladas e peixes, sendo uma excelente escolha para momentos descontraídos.",32.64,https://cdn.dooca.store/158171/products/wzeysduvlt2mnqlcubxisak1eb2in3onby8u.jpg?v=1723289467
Góes Lotes de Coleção Petit Verdot 2022,"Tinto de perfil intenso, com notas de frutas negras, violeta e especiarias. Taninos firmes e final prolongado. Ideal com carnes vermelhas, cordeiro e queijos curados.",110.59,https://cdn.dooca.store/158171/products/nw1yvgnjjskz5lxvtdhrwqfgsuculatzu1ju.jpg?v=1748609694
Vinho Tinto Casa Venturini Le Magicien Gran Reserva 2020,"Vinho Tinto Gran Reserva 2020 com aromas de frutas maduras, mentol, chocolate amargo e café, perfeito para acompanhar pratos condimentados como carnes gordurosas e de caça, molhos vermelhos e queijos duros, oferecendo uma experiência gastronômica completa.",364.8,https://cdn.dooca.store/158171/products/cfotmxpb6sxqdi7wdpbyizbl42ph0okoof9k.jpg?v=1722784646
Vinho Branco Góes Tempos Trópicos Lorena Seco Bag in Box 3 Litros,"Vinho branco seco de 3L, feito 100% de uva Lorena, em embalagem Bag in Box. Acompanha pratos leves, como peixes e queijos leves, sendo ideal para refeições mais refrescantes e descontraídas.",110.4,https://cdn.dooca.store/158171/products/d5tunw0n7jofwsu1nmub9c2pjlwwlfelym7o.jpg?v=1722761088
